model,fold,accuracy_xy,accuracy_xy_dxdy,f1_macro_xy,f1_macro_xy_dxdy,acc_mean,acc_std,f1_mean,f1_std
cnn2d,1,0.9000,0.9000,0.8667,0.8827,0.9000,0.0000,0.8747,0.0113
cnn2d,2,0.8667,0.8222,0.8324,0.7824,0.8444,0.0314,0.8074,0.0354
cnn2d,3,0.9000,0.9000,0.8667,0.8827,0.9000,0.0000,0.8747,0.0113
cnn2d,4,0.9000,0.7889,0.8667,0.7278,0.8444,0.0786,0.7972,0.0982
cnn2d,5,0.9000,0.9000,0.8667,0.8827,0.9000,0.0000,0.8747,0.0113
resnet18,1,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0000
resnet18,2,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0000
resnet18,3,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0000
resnet18,4,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0000
resnet18,5,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0000
resnet34,1,0.9667,0.9667,0.9657,0.9657,0.9667,0.0000,0.9657,0.0000
resnet34,2,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0000
resnet34,3,1.0000,0.9750,1.0000,0.9743,0.9875,0.0177,0.9871,0.0182
resnet34,4,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0000
resnet34,5,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0000
resnet50,1,0.9000,0.9222,0.8907,0.9179,0.9111,0.0157,0.9043,0.0192
resnet50,2,1.0000,0.9778,1.0000,0.9771,0.9889,0.0157,0.9886,0.0162
resnet50,3,1.0000,0.9333,1.0000,0.9338,0.9667,0.0471,0.9669,0.0468
resnet50,4,0.9667,0.9889,0.9657,0.9886,0.9778,0.0157,0.9771,0.0162
resnet50,5,1.0000,0.9556,1.0000,0.9543,0.9778,0.0314,0.9771,0.0323
